mir,diff
141,0.022124108392745
142,0.0028792885132134
143,-0.015671086497605
144,-0.01616590609774
145,-0.022910725791007
146,-0.010905545204878
147,0.018460746388882
148,0.0061603710055351
149,-0.0096122263930738
150,0.0051707318052649
151,0.0081481342203915
152,-0.013874462805688
153,0.011325161904097
154,0.012219231110066
155,-0.0084144771099091
156,-0.0061315190978348
157,0.0024014390073717
158,-0.007121158298105
159,0.017384022008628
160,0.014805868733674
161,-0.019022283609957
162,-0.025072658900172
163,-0.0061230342835188
164,-0.012173409108073
165,-0.00016822898760438
166,0.025031395722181
167,0.012731020804495
168,-0.0058193546719849
169,-0.0097863967530429
170,-0.010975660290569
171,-0.0079982578754425
172,0.022756922524422
173,0.018095436505973
174,-0.0046216053888202
175,0.00043913023546338
176,0.0089720888063312
177,-0.019994953181595
178,-0.0010453285649419
179,0.010959852021188
180,-0.0089794122613966
181,-0.012946453876793
182,0.0004476155154407
183,-0.0083805373869836
184,0.010569087229669
185,0.023268712218851
186,-0.0063927741721272
187,-0.018693149555475
188,-0.00043796887621284
189,-0.0016272328794003
190,-3.8719270378351E-5
191,0.026549794711173
192,0.019804975017905
193,-0.0029120673425496
194,-0.014517997391522
195,-0.010846150573343
196,-0.016202081460506
197,0.013858654536307
198,0.018224946223199
199,-0.0072698737494648
200,-0.0077646928839386
201,0.0091015985235572
202,-0.013615443836898
203,-0.0036935964599252
204,0.019422695040703
205,0.0043445420451462
206,-0.0065669440664351
207,0.005438236054033
208,-0.0020010280422866
209,0.0051430417224765
210,0.027564888354391
211,0.00068118004128337
212,-0.020646972581744
213,-0.0086417924612761
214,-0.0035810568369925
215,-0.011714764870703
216,0.015568193048239
217,0.020628928672522
218,0.0006896648555994
219,-0.014388488139957
220,-0.006549974437803
221,-0.012600349262357
222,0.011904831044376
223,0.028076678048819
224,0.0039707473479211
225,-0.0062462943606079
226,0.010619996581227
227,-0.0058470447547734
228,-0.011202975641936
229,0.014691093470901
230,0.0030851629562676
231,-0.016159656457603
232,-0.0062378095462918
233,-0.0046492959372699
234,-0.0058385599404573
235,0.024916620459408
236,0.0084495786577463
237,-0.017045240849257
238,-0.0085122832097113
239,0.0041873422451317
240,-0.0067241443321109
241,0.016392147168517
242,0.029091772157699
243,0.010541396681219
244,-0.013564534019679
245,-0.0091982423327863
246,-0.017331950832158
247,-0.0046323263086379
248,0.018483965657651
249,0.00062803458422422
250,-0.015144562814385
251,0.0017217290587723
252,-0.0036342018283904
253,-0.018017910420895
254,0.012042825575918
255,0.010853561572731
256,-0.0090857027098536
257,-0.0019416329450905
258,0.0058968802914023
259,-0.00084793940186501
260,0.025740574579686
261,0.014829088468105
262,-0.016221287194639
263,-0.01879943953827
264,-0.0040164818055928
265,-0.014927967917174
266,-0.00083945412188768
267,0.020887948572636
268,0.0065042399801314
269,-0.019685023929924
270,-0.016707621514797
271,-0.01650799671188
272,-0.010752816218883
273,0.022085697390139
274,0.014646433293819
275,-0.0066817193292081
